Date,HomeTeam,AwayTeam,FTHG,FTAG
2015-09-26,Sevilla,Vallecano,3,2
2015-09-26,Villarreal,Ath Madrid,1,0
2015-09-27,Getafe,Levante,3,0
2015-09-27,La Coruna,Espanol,3,0
2015-09-27,Sociedad,Ath Bilbao,0,0
2015-09-27,Sp Gijon,Betis,1,2
2015-10-02,Celta,Getafe,0,0
2015-10-03,Espanol,Sp Gijon,1,2
2015-10-03,Granada,La Coruna,1,1
2015-10-03,Las Palmas,Eibar,0,2
2015-10-03,Malaga,Sociedad,3,1
2015-10-03,Sevilla,Barcelona,2,1
2015-10-04,Ath Bilbao,Valencia,3,1
2015-10-04,Ath Madrid,Real Madrid,1,1
2015-10-04,Levante,Villarreal,1,0
2015-10-04,Vallecano,Betis,0,2
2015-10-17,Barcelona,Vallecano,5,2
2015-10-17,Betis,Espanol,1,3
2015-10-17,Eibar,Sevilla,1,1
2015-10-17,Real Madrid,Levante,3,0
2015-10-17,Valencia,Malaga,3,0
2015-10-18,Getafe,Las Palmas,4,0
2015-10-18,La Coruna,Ath Bilbao,2,2
2015-10-18,Sociedad,Ath Madrid,0,2
2015-10-18,Villarreal,Celta,1,2
2015-10-19,Sp Gijon,Granada,3,3
2015-10-23,Vallecano,Espanol,3,0
2015-10-24,Celta,Real Madrid,1,3
2015-10-24,Granada,Betis,1,1
2015-10-24,Malaga,La Coruna,2,0
2015-10-24,Sevilla,Getafe,5,0
2015-10-25,Ath Madrid,Valencia,2,1
2015-10-25,Barcelona,Eibar,3,1
2015-10-25,Las Palmas,Villarreal,0,0
2015-10-25,Levante,Sociedad,0,4
2015-10-26,Ath Bilbao,Sp Gijon,3,0
2015-10-30,La Coruna,Ath Madrid,1,1
2015-10-31,Getafe,Barcelona,0,2
2015-10-31,Real Madrid,Las Palmas,3,1
2015-10-31,Sociedad,Celta,2,3
2015-10-31,Valencia,Levante,3,0
2015-10-31,Villarreal,Sevilla,2,1
2015-11-01,Betis,Ath Bilbao,1,3
2015-11-01,Eibar,Vallecano,1,0
2015-11-01,Espanol,Granada,1,1
2015-11-01,Sp Gijon,Malaga,1,0
2015-11-06,Las Palmas,Sociedad,2,0
2015-11-07,Celta,Valencia,1,5
2015-11-07,Eibar,Getafe,3,1
2015-11-07,Levante,La Coruna,1,1
2015-11-07,Malaga,Betis,0,1
2015-11-07,Vallecano,Granada,2,1
2015-11-08,Ath Bilbao,Espanol,2,1
2015-11-08,Ath Madrid,Sp Gijon,1,0
2015-11-08,Barcelona,Villarreal,3,0
2015-11-08,Sevilla,Real Madrid,3,2
2015-11-21,Espanol,Malaga,2,0
2015-11-21,La Coruna,Celta,2,0
2015-11-21,Real Madrid,Barcelona,0,4
2015-11-21,Sociedad,Sevilla,2,0
2015-11-21,Valencia,Las Palmas,1,1
2015-11-22,Betis,Ath Madrid,0,1
2015-11-22,Granada,Ath Bilbao,2,0
2015-11-22,Sp Gijon,Levante,0,3
2015-11-22,Villarreal,Eibar,1,1
2015-11-23,Getafe,Vallecano,1,1
2015-11-27,Levante,Betis,0,1
2015-11-28,Ath Madrid,Espanol,1,0
2015-11-28,Barcelona,Sociedad,4,0
2015-11-28,Celta,Sp Gijon,2,1
2015-11-28,Las Palmas,La Coruna,0,2
2015-11-28,Malaga,Granada,2,2
2015-11-29,Eibar,Real Madrid,0,2
2015-11-29,Getafe,Villarreal,2,0
2015-11-29,Sevilla,Valencia,1,0
2015-11-29,Vallecano,Ath Bilbao,0,3
2015-12-05,Betis,Celta,1,1
2015-12-05,Granada,Ath Madrid,0,2
2015-12-05,La Coruna,Sevilla,1,1
2015-12-05,Real Madrid,Getafe,4,1
2015-12-05,Valencia,Barcelona,1,1
2015-12-06,Ath Bilbao,Malaga,0,0
2015-12-06,Sociedad,Eibar,2,1
2015-12-06,Sp Gijon,Las Palmas,3,1
2015-12-06,Villarreal,Vallecano,2,1
2015-12-07,Espanol,Levante,1,1
2015-12-11,Getafe,Sociedad,1,1
2015-12-12,Barcelona,La Coruna,2,2
2015-12-12,Celta,Espanol,1,0
2015-12-12,Las Palmas,Betis,1,0
2015-12-12,Levante,Granada,1,2
2015-12-12,Sevilla,Sp Gijon,2,0
2015-12-13,Ath Madrid,Ath Bilbao,2,1
2015-12-13,Eibar,Valencia,1,1
2015-12-13,Vallecano,Malaga,1,2
2015-12-13,Villarreal,Real Madrid,1,0
2015-12-19,Betis,Sevilla,0,0
2015-12-19,Espanol,Las Palmas,1,0
2015-12-19,La Coruna,Eibar,2,0
2015-12-19,Valencia,Getafe,2,2
2015-12-20,Ath Bilbao,Levante,2,0
2015-12-20,Granada,Celta,0,2
2015-12-20,Malaga,Ath Madrid,1,0
2015-12-20,Real Madrid,Vallecano,10,2
2015-12-20,Sociedad,Villarreal,0,2
2015-12-30,Barcelona,Betis,4,0
2015-12-30,Celta,Ath Bilbao,0,1
2015-12-30,Eibar,Sp Gijon,2,0
2015-12-30,Getafe,La Coruna,0,0
2015-12-30,Las Palmas,Granada,4,1
2015-12-30,Levante,Malaga,0,1
2015-12-30,Real Madrid,Sociedad,3,1
2015-12-30,Sevilla,Espanol,2,0
2015-12-30,Vallecano,Ath Madrid,0,2
2015-12-31,Villarreal,Valencia,1,0
2016-01-02,Ath Madrid,Levante,1,0
2016-01-02,Espanol,Barcelona,0,0
2016-01-02,Malaga,Celta,2,0
2016-01-03,Ath Bilbao,Las Palmas,2,2
2016-01-03,Betis,Eibar,0,4
2016-01-03,Granada,Sevilla,2,1
2016-01-03,La Coruna,Villarreal,1,2
2016-01-03,Valencia,Real Madrid,2,2
2016-01-03,Vallecano,Sociedad,2,2
2016-01-04,Sp Gijon,Getafe,1,2
2016-01-09,Barcelona,Granada,4,0
2016-01-09,Getafe,Betis,1,0
2016-01-09,Levante,Vallecano,2,1
2016-01-09,Real Madrid,La Coruna,5,0
2016-01-09,Sevilla,Ath Bilbao,2,0
2016-01-10,Celta,Ath Madrid,0,2
2016-01-10,Eibar,Espanol,2,1
2016-01-10,Las Palmas,Malaga,1,1
2016-01-10,Sociedad,Valencia,2,0
2016-01-10,Villarreal,Sp Gijon,2,0
2016-01-16,Celta,Levante,4,3
2016-01-16,Sevilla,Malaga,2,1
2016-01-16,Sociedad,La Coruna,1,1
2016-01-16,Villarreal,Betis,0,0
2016-01-17,Barcelona,Ath Bilbao,6,0
